fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	max_bin	min_gain_to_split	lambda_l1	lambda_l2	ganancia	iteracion
20220601 053924	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	4416	TRUE	0.00403600900970226	0.224504795334878	2376	1498	0.0179175384645721	0.00997819762983306	1.81541192066282	59.6532600375992	37302000	97
20220601 054315	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	2677	TRUE	0.0073540137821674	0.216605513191094	7603	500	0.016415614180604	0.00896427816491431	0.265915506798772	98.9272587884587	37369000	98
20220601 054426	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	504	TRUE	0.0156560057562759	0.364162562811492	7187	1437	0.0174369277413995	0.00996072434899877	0.175363646861498	22.8415237449206	36818000	99
20220601 054654	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1442	TRUE	0.0068132004738124	0.223572370005189	6937	1110	0.0179964939179193	0.00977023521726498	2.7006127838924	94.7181692889022	36703000	100
20220601 054952	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1519	TRUE	0.00521231374308528	0.231174713825756	7401	505	0.0168737393159836	0.00497396593369976	0.33789773512588	1.74092860903568	37204000	101
20220601 055335	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1662	TRUE	0.0043530087028602	0.228536429610311	2350	554	0.0128708833778091	0.00242232378628142	0.00392639490788343	13.2498593712253	36977000	102
20220601 060518	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	7365	TRUE	0.0013197615621665	0.199180877209042	2734	500	0.0170110611243551	0.00780564947673097	0.0631309167895028	32.9242333211695	37019000	103
20220601 060706	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	870	TRUE	0.019276797525417	0.484523625530785	7993	527	0.0138676296903238	0.00118733510398042	0.0740860929723048	9.18334730823639	36953000	104
20220601 060815	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	597	TRUE	0.0144529175630871	0.220215006560576	7945	500	0.0187558843612373	0.0075235043425707	0.197340977452259	46.1526194943171	36897000	105
20220601 061023	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1296	TRUE	0.0125379393012716	0.110544580903152	388	1485	0.0186361051248582	0.0058589991565311	0.85316928382484	37.519993485822	36995000	106
20220601 061211	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	825	TRUE	0.0152172860555484	0.438621597737014	3846	1500	0.012783583475104	0.00395769825319778	0.240660816147918	44.7171074083279	37157000	107
20220601 061316	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	355	TRUE	0.0148068104409683	0.391742522773907	4855	500	0.0173639306977235	0.00139599729822263	0.169350244456627	0.68061095094763	36550000	108
