cp	max_depth	max_bucket	min_split	ganancia_promedio
-0.1	14	100	20	7433333
-0.1	14	100	10	7433333
-0.1	14	50	1000	8236667
-0.1	14	50	800	8453333
-0.1	14	50	600	8680000
-0.1	14	50	400	6170000
-0.1	14	50	200	5953333
-0.1	14	50	100	5690000
-0.1	14	50	50	5690000
-0.1	14	50	20	5690000
-0.1	14	50	10	5690000
-0.1	14	20	1000	8496667
-0.1	14	20	800	8766667
-0.1	14	20	600	9966667
-0.1	14	20	400	8346667
-0.1	14	20	200	7530000
-0.1	14	20	100	6726667
-0.1	14	20	50	5826667
-0.1	14	20	20	5040000
-0.1	14	20	10	5040000
-0.1	14	10	1000	9916667
-0.1	14	10	800	10213333
-0.1	14	10	600	9403333
-0.1	14	10	400	7230000
-0.1	14	10	200	6520000
-0.1	14	10	100	5190000
-0.1	14	10	50	4280000
-0.1	14	10	20	2593333
-0.1	14	10	10	2593333
-0.1	14	5	1000	10253333
-0.1	14	5	800	10170000
-0.1	14	5	600	9403333
-0.1	14	5	400	7296667
-0.1	14	5	200	7246667
-0.1	14	5	100	6140000
-0.1	14	5	50	5533333
-0.1	14	5	20	4873333
-0.1	14	5	10	4523333
-0.1	16	500	1000	10340000
-0.1	16	500	800	10340000
-0.1	16	500	600	10340000
-0.1	16	500	400	10340000
-0.1	16	500	200	10340000
-0.1	16	500	100	10340000
-0.1	16	500	50	10340000
-0.1	16	500	20	10340000
-0.1	16	500	10	10340000
-0.1	16	400	1000	10070000
-0.1	16	400	800	10086667
-0.1	16	400	600	10086667
-0.1	16	400	400	10086667
-0.1	16	400	200	10086667
-0.1	16	400	100	10086667
-0.1	16	400	50	10086667
-0.1	16	400	20	10086667
-0.1	16	400	10	10086667
-0.1	16	300	1000	9926667
-0.1	16	300	800	8710000
-0.1	16	300	600	7226667
-0.1	16	300	400	7226667
-0.1	16	300	200	7226667
-0.1	16	300	100	7226667
-0.1	16	300	50	7226667
-0.1	16	300	20	7226667
-0.1	16	300	10	7226667
-0.1	16	200	1000	9396667
-0.1	16	200	800	8830000
-0.1	16	200	600	7523333
-0.1	16	200	400	7666667
-0.1	16	200	200	7666667
-0.1	16	200	100	7666667
-0.1	16	200	50	7666667
-0.1	16	200	20	7666667
-0.1	16	200	10	7666667
-0.1	16	100	1000	7986667
-0.1	16	100	800	7973333
-0.1	16	100	600	8736667
-0.1	16	100	400	7240000
-0.1	16	100	200	7340000
-0.1	16	100	100	7340000
