fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220531 022344	0	0	0	1	hist	lossguide	256	0	1	0.0234984469876561	0.503946338191889	6	797	0.0114923278188844	67	13183000	98
20220531 022655	0	0	0	1	hist	lossguide	256	0	1	0.0102413939199461	0.732703778981033	10	526	0.0154864461981623	169	12883000	99
20220531 023047	0	0	0	1	hist	lossguide	256	0	1	0.0104945870442787	0.901331197033693	5	1022	0.0185571379100452	184	11866000	100
20220531 023424	0	0	0	1	hist	lossguide	256	0	1	0.0107628555542619	0.417329164037433	9	418	0.011492404851301	298	12968000	101
20220531 023756	0	0	0	1	hist	lossguide	256	0	1	0.0102955666654845	0.581868140704744	8	276	0.0113549088079776	240	13108000	102
20220531 023834	0	0	0	1	hist	lossguide	256	0	1	0.107671835181487	0.926283641984972	8	2	0.0152032146837818	196	12974000	103
20220531 023859	0	0	0	1	hist	lossguide	256	0	1	0.280510119979961	0.533935167321935	9	3	0.0162487155674656	76	13371000	104
20220531 023930	0	0	0	1	hist	lossguide	256	0	1	0.293201048411652	0.895677081035876	10	2	0.0178448225726928	164	13174000	105
20220531 024212	0	0	0	1	hist	lossguide	256	0	1	0.0112337771925892	0.204046107290472	10	3	0.0258779351545497	739	12430000	106
20220531 024635	0	0	0	1	hist	lossguide	256	0	1	0.0103692759213051	0.320675728904802	6	890	0.0111481152932313	362	12941000	107
20220531 024717	0	0	0	1	hist	lossguide	256	0	1	0.299378754144676	0.816363816908659	9	2	0.0171056961608662	259	13088000	108
20220531 025025	0	0	0	1	hist	lossguide	256	0	1	0.0112770313866247	0.444221545072195	10	1024	0.0136616809261181	239	13098000	109
20220531 025405	0	0	0	1	hist	lossguide	256	0	1	0.010634490982247	0.54060505795363	10	1024	0.0252129489891898	333	11477000	110
20220531 025534	0	0	0	1	hist	lossguide	256	0	1	0.0269579505858832	0.68295487924486	7	132	0.0110689409351176	40	12627000	111
20220531 025635	0	0	0	1	hist	lossguide	256	0	1	0.0889602748902806	0.22518759006297	10	2	0.0180405466983776	386	13373000	112
20220531 025710	0	0	0	1	hist	lossguide	256	0	1	0.244501133093268	0.240853634370445	9	2	0.018287258136874	191	13545000	113
20220531 025746	0	0	0	1	hist	lossguide	256	0	1	0.268165805427665	0.698897641151818	10	2	0.0163823691955637	195	13328000	114
20220531 030031	0	0	0	1	hist	lossguide	256	0	1	0.0140048940687659	0.237495186935634	7	125	0.0179682773960381	178	12370000	115
20220531 030344	0	0	0	1	hist	lossguide	256	0	1	0.0101723615462416	0.797831310498841	10	1022	0.0123315914901928	183	13659000	116
20220531 030703	0	0	0	1	hist	lossguide	256	0	1	0.0101981531353839	0.487846691346855	8	205	0.0131219712358984	185	13173000	117
20220531 030735	0	0	0	1	hist	lossguide	256	0	1	0.175884830205463	0.200331023082305	5	3	0.0190804707359845	85	13243000	118
20220531 030802	0	0	0	1	hist	lossguide	256	0	1	0.261131389186297	0.210023052572314	8	2	0.0170683013084721	118	13383000	119
20220531 030837	0	0	0	1	hist	lossguide	256	0	1	0.14211078646063	0.992701149201794	9	655	0.012849934072949	18	12075000	120
20220531 031207	0	0	0	1	hist	lossguide	256	0	1	0.0101743396691938	0.913361588463364	9	454	0.0154077361499452	223	12922000	121
20220531 031302	0	0	0	1	hist	lossguide	256	0	1	0.0587197731893476	0.216401600055602	5	2	0.0166579858128264	308	13089000	122
20220531 031800	0	0	0	1	hist	lossguide	256	0	1	0.0128795730437133	0.522515916309436	10	2	0.0162293076425856	2145	12895000	123
20220531 031833	0	0	0	1	hist	lossguide	256	0	1	0.195615025448302	0.200294846136727	9	2	0.0182793361641908	119	13193000	124
20220531 032152	0	0	0	1	hist	lossguide	256	0	1	0.0101017694483032	0.992686296815565	9	1024	0.0122858711514234	162	13200000	125
20220531 032216	0	0	0	1	hist	lossguide	256	0	1	0.29937563784316	0.201449085095026	10	942	0.029058689312779	5	9504000	126
20220531 032723	0	0	0	1	hist	lossguide	256	0	1	0.0100547777638064	0.201761234033667	7	754	0.0114095212111459	590	12744000	127
20220531 032829	0	0	0	1	hist	lossguide	256	0	1	0.0539221763016139	0.200010126462669	5	2	0.0226156687047296	397	13092000	128
20220531 033018	0	0	0	1	hist	lossguide	256	0	1	0.0211160648350967	0.893026106374434	10	1024	0.0115438754286823	86	13236000	129
20220531 033057	0	0	0	1	hist	lossguide	256	0	1	0.0889864417937293	0.797584821675116	10	1021	0.0137014698913351	24	13284000	130
20220531 033300	0	0	0	1	hist	lossguide	256	0	1	0.0179638731162538	0.679877937729587	10	1024	0.0121034701201342	128	13267000	131
20220531 033336	0	0	0	1	hist	lossguide	256	0	1	0.218109861746397	0.322394182444901	8	2	0.0206428372591731	196	13246000	132
20220531 033411	0	0	0	1	hist	lossguide	256	0	1	0.268582255432182	0.801340499699974	9	2	0.0192061381180526	185	12974000	133
20220531 033640	0	0	0	1	hist	lossguide	256	0	1	0.0103034373594097	0.542611608866719	10	471	0.00835250761536222	34	12165000	134
20220531 033951	0	0	0	1	hist	lossguide	256	0	1	0.0106399610520232	0.813958097948832	10	920	0.0137068080087952	213	13438000	135
20220531 034105	0	0	0	1	hist	lossguide	256	0	1	0.0922546452764438	0.286496197232052	9	2	0.0162793236987637	466	13230000	136
20220531 034445	0	0	0	1	hist	lossguide	256	0	1	0.010167128039462	0.588453277155368	5	642	0.0119992897648809	156	13005000	137
20220531 034520	0	0	0	1	hist	lossguide	256	0	1	0.299185204838226	0.632597149565129	10	2	0.0189801859758991	199	13086000	138
20220531 034702	0	0	0	1	hist	lossguide	256	0	1	0.0207604057822896	0.843214142283554	9	213	0.0124998478986612	63	13372000	139
20220531 034820	0	0	0	1	hist	lossguide	256	0	1	0.0471638285447507	0.231487410429746	10	134	0.0164756643786477	144	12507000	140
20220531 034907	0	0	0	1	hist	lossguide	256	0	1	0.0672910572291387	0.898899834199435	10	1024	0.022410229525775	35	11784000	141
20220531 034938	0	0	0	1	hist	lossguide	256	0	1	0.29209597771927	0.219975986202287	6	2	0.0206020778684051	154	13164000	142
20220531 035242	0	0	0	1	hist	lossguide	256	0	1	0.0101294506802092	0.656900078449661	10	1024	0.0156588123092809	173	12839000	143
20220531 035319	0	0	0	1	hist	lossguide	256	0	1	0.299799411295034	0.936292073581227	10	2	0.0172290465483958	158	13203000	144
20220531 035345	0	0	0	1	hist	lossguide	256	0	1	0.299872397328637	0.20820477843359	9	62	0.0149506116098849	12	11283000	145
20220531 035414	0	0	0	1	hist	lossguide	256	0	1	0.232755848909065	0.24161078095218	7	2	0.0226504164734442	138	12938000	146
20220531 035710	0	0	0	1	hist	lossguide	256	0	1	0.0101309271839135	0.424277258570677	6	731	0.00835109837210358	51	12715000	147
20220531 040004	0	0	0	1	hist	lossguide	256	0	1	0.0104072020060721	0.292996992309976	10	506	0.0136084170347887	160	12982000	148
20220531 040059	0	0	0	1	hist	lossguide	256	0	1	0.0543459354296629	0.835712167355791	7	495	0.01417862757632	30	12903000	149
20220531 042229	0	0	0	1	hist	lossguide	256	0	1	0.0100182705365578	0.637538460559454	0	1009	0.0106206611268592	162	1039000	150
