fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220531 214154	0	0	0	1	auto	depthwise	256	0	1	0.299948909070337	0.362182586065505	0	2	0.0142335919978798	45	11913000	141
20220531 214331	0	0	0	1	auto	depthwise	256	0	1	0.211068818493853	0.681728836654044	6	2	0.0121530089310867	78	13576000	142
20220531 214547	0	0	0	1	auto	depthwise	256	0	1	0.201935955794754	0.731013827338935	7	2	0.0134654341606593	132	13645000	143
20220531 214723	0	0	0	1	auto	depthwise	256	0	1	0.213811235640151	0.541573092943561	6	2	0.0162929419520658	104	13357000	144
20220531 214945	0	0	0	1	auto	depthwise	256	0	1	0.192521299749962	0.99803032177357	10	2	0.01255133900448	94	13069000	145
20220531 215634	0	0	0	1	auto	depthwise	256	0	1	0.201388121777568	0.953087347302999	6	30	0.00839012623670659	6	10577000	146
20220531 215816	0	0	0	1	auto	depthwise	256	0	1	0.24551512408305	0.69320232849104	7	2	0.0118063912671148	75	13083000	147
20220531 220026	0	0	0	1	auto	depthwise	256	0	1	0.136473039143077	0.51621841815338	10	2	0.0142586479746675	167	13581000	148
20220531 220150	0	0	0	1	auto	depthwise	256	0	1	0.247728267112642	0.709519279744943	0	2	0.00834076618797464	51	11909000	149
20220531 220326	0	0	0	1	auto	depthwise	256	0	1	0.193043605192565	0.93858427888219	6	2	0.0117061139905531	41	12883000	150
