fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220530 233738	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	279	TRUE	111599	0.0173439940588873	0.419679565146172	2275	55	0.0140568826452573	13179000	97
20220530 233839	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	307	TRUE	111599	0.0154516724500842	0.423369262920299	3243	19	0.0116377958601826	13459000	98
20220530 234010	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	530	TRUE	111599	0.0131293014895713	0.376313961030496	3057	264	0.0130143725090086	13825000	99
20220530 234049	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	390	TRUE	111599	0.0228479174406888	0.93100450693514	7998	140	0.0147593130577538	12982000	100
20220530 234101	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	24	TRUE	111599	0.182101939628651	0.513053403194456	5464	1018	0.0178333849636586	12771000	101
20220530 234203	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	442	TRUE	111599	0.0144093215000566	0.200467178721313	3008	20	0.0233858994804468	12567000	102
20220530 234235	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	101	TRUE	111599	0.0490821136773707	0.429895257360941	3895	1024	0.0246232276598166	11824000	103
20220530 234415	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	824	TRUE	111599	0.0106154888052595	0.200993925617503	6966	875	0.00837859566731532	11564000	104
20220530 234547	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	439	TRUE	111599	0.0109117167620773	0.383057196914955	3060	627	0.0126700372017586	13567000	105
20220530 234557	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	26	TRUE	111599	0.114848322179553	0.925244575711565	5990	297	0.0186960748840062	12447000	106
20220530 234639	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	48	TRUE	111599	0.0175072220264504	0.326078784985575	1391	358	0.0102663644955024	12898000	107
20220530 234703	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	107	TRUE	111599	0.0629946572595241	0.541176983547884	5285	70	0.0134705187647514	13088000	108
20220530 234716	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	43	TRUE	111599	0.167676784426506	0.395089376963561	6464	1018	0.0181048267641034	12839000	109
20220530 234852	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	533	TRUE	111599	0.0105872374291706	0.322968259302758	2922	307	0.0133271824588267	13501000	110
20220530 234938	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	189	TRUE	111599	0.0265389476651075	0.472404836146017	3138	207	0.0131482608692084	13289000	111
20220530 235058	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	99	TRUE	111599	0.0101575376264675	0.460584330840442	1044	290	0.012369369944998	13330000	112
20220530 235204	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	317	TRUE	111599	0.0104581975219093	0.997923274316045	3048	1000	0.0187917270419905	12623000	113
